run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail,arm
create-confirm-r2-b1,250,LINK,warmup,0,completed,250,7304125,success,,none
create-confirm-r2-b1,250,LINK,warmup,1,completed,250,1011875,success,,none
create-confirm-r2-b1,250,LINK,warmup,2,completed,250,966000,success,,none
create-confirm-r2-b1,250,LINK,warmup,3,completed,250,752125,success,,none
create-confirm-r2-b1,250,LINK,warmup,4,completed,250,702458,success,,none
create-confirm-r2-b1,250,LINK,measure,0,completed,250,659000,success,,none
create-confirm-r2-b1,250,LINK,measure,1,completed,250,647750,success,,none
create-confirm-r2-b1,250,LINK,measure,2,completed,250,626916,success,,none
create-confirm-r2-b1,250,LINK,measure,3,completed,250,621333,success,,none
create-confirm-r2-b1,250,LINK,measure,4,completed,250,957041,success,,none
create-confirm-r2-b1,250,LINK,measure,5,completed,250,872542,success,,none
create-confirm-r2-b1,250,LINK,measure,6,completed,250,640917,success,,none
create-confirm-r2-b1,250,LINK,measure,7,completed,250,596875,success,,none
create-confirm-r2-b1,250,LINK,measure,8,completed,250,582875,success,,none
create-confirm-r2-b1,250,LINK,measure,9,completed,250,597125,success,,none
create-confirm-r2-b1,250,LINK,measure,10,completed,250,588375,success,,none
create-confirm-r2-b1,250,LINK,measure,11,completed,250,574209,success,,none
create-confirm-r2-b1,250,LINK,measure,12,completed,250,562542,success,,none
create-confirm-r2-b1,250,LINK,measure,13,completed,250,566250,success,,none
create-confirm-r2-b1,250,LINK,measure,14,completed,250,673792,success,,none
create-confirm-r2-b1,250,LINK,measure,15,completed,250,664375,success,,none
create-confirm-r2-b1,250,LINK,measure,16,completed,250,792083,success,,none
create-confirm-r2-b1,250,LINK,measure,17,completed,250,704833,success,,none
create-confirm-r2-b1,250,LINK,measure,18,completed,250,550791,success,,none
create-confirm-r2-b1,250,LINK,measure,19,completed,250,496125,success,,none
create-confirm-r2-b1,250,LIST,warmup,0,completed,250,3841791,success,,none
create-confirm-r2-b1,250,LIST,warmup,1,completed,250,3726083,success,,none
create-confirm-r2-b1,250,LIST,warmup,2,completed,250,2608167,success,,none
create-confirm-r2-b1,250,LIST,warmup,3,completed,250,3042833,success,,none
create-confirm-r2-b1,250,LIST,warmup,4,completed,250,2399958,success,,none
create-confirm-r2-b1,250,LIST,measure,0,completed,250,2264792,success,,none
create-confirm-r2-b1,250,LIST,measure,1,completed,250,2779625,success,,none
create-confirm-r2-b1,250,LIST,measure,2,completed,250,2460292,success,,none
create-confirm-r2-b1,250,LIST,measure,3,completed,250,3359167,success,,none
create-confirm-r2-b1,250,LIST,measure,4,completed,250,2414584,success,,none
create-confirm-r2-b1,250,LIST,measure,5,completed,250,2572917,success,,none
create-confirm-r2-b1,250,LIST,measure,6,completed,250,2269625,success,,none
create-confirm-r2-b1,250,LIST,measure,7,completed,250,2711666,success,,none
create-confirm-r2-b1,250,LIST,measure,8,completed,250,2379125,success,,none
create-confirm-r2-b1,250,LIST,measure,9,completed,250,2639333,success,,none
create-confirm-r2-b1,250,LIST,measure,10,completed,250,2355125,success,,none
create-confirm-r2-b1,250,LIST,measure,11,completed,250,2212167,success,,none
create-confirm-r2-b1,250,LIST,measure,12,completed,250,2558166,success,,none
create-confirm-r2-b1,250,LIST,measure,13,completed,250,2276000,success,,none
create-confirm-r2-b1,250,LIST,measure,14,completed,250,2335125,success,,none
create-confirm-r2-b1,250,LIST,measure,15,completed,250,2682334,success,,none
create-confirm-r2-b1,250,LIST,measure,16,completed,250,2326916,success,,none
create-confirm-r2-b1,250,LIST,measure,17,completed,250,2167792,success,,none
create-confirm-r2-b1,250,LIST,measure,18,completed,250,2767291,success,,none
create-confirm-r2-b1,250,LIST,measure,19,completed,250,2377833,success,,none
create-confirm-r2-b1,250,SAVE,warmup,0,completed,250,18185584,success,,none
create-confirm-r2-b1,250,SAVE,warmup,1,completed,250,7006917,success,,none
create-confirm-r2-b1,250,SAVE,warmup,2,completed,250,8545917,success,,none
create-confirm-r2-b1,250,SAVE,warmup,3,completed,250,7682417,success,,none
create-confirm-r2-b1,250,SAVE,warmup,4,completed,250,11968375,success,,none
create-confirm-r2-b1,250,SAVE,measure,0,completed,250,15446167,success,,none
create-confirm-r2-b1,250,SAVE,measure,1,completed,250,6727500,success,,none
create-confirm-r2-b1,250,SAVE,measure,2,completed,250,6118042,success,,none
create-confirm-r2-b1,250,SAVE,measure,3,completed,250,5895750,success,,none
create-confirm-r2-b1,250,SAVE,measure,4,completed,250,5454750,success,,none
create-confirm-r2-b1,250,SAVE,measure,5,completed,250,6691584,success,,none
create-confirm-r2-b1,250,SAVE,measure,6,completed,250,6446625,success,,none
create-confirm-r2-b1,250,SAVE,measure,7,completed,250,5975333,success,,none
create-confirm-r2-b1,250,SAVE,measure,8,completed,250,5815958,success,,none
create-confirm-r2-b1,250,SAVE,measure,9,completed,250,5555375,success,,none
create-confirm-r2-b1,250,SAVE,measure,10,completed,250,5736250,success,,none
create-confirm-r2-b1,250,SAVE,measure,11,completed,250,5846625,success,,none
create-confirm-r2-b1,250,SAVE,measure,12,completed,250,5985542,success,,none
create-confirm-r2-b1,250,SAVE,measure,13,completed,250,6165084,success,,none
create-confirm-r2-b1,250,SAVE,measure,14,completed,250,6046333,success,,none
create-confirm-r2-b1,250,SAVE,measure,15,completed,250,6035458,success,,none
create-confirm-r2-b1,250,SAVE,measure,16,completed,250,5769750,success,,none
create-confirm-r2-b1,250,SAVE,measure,17,completed,250,6014833,success,,none
create-confirm-r2-b1,250,SAVE,measure,18,completed,250,5928750,success,,none
create-confirm-r2-b1,250,SAVE,measure,19,completed,250,5903375,success,,none
create-confirm-r2-b1,250,CREATE,warmup,0,completed,250,174608416,success,,none
create-confirm-r2-b1,250,CREATE,warmup,1,completed,251,149571333,success,,none
create-confirm-r2-b1,250,CREATE,measure,0,completed,252,142381000,success,,none
create-confirm-r2-b1,250,CREATE,measure,1,completed,253,142793459,success,,none
create-confirm-r2-b1,250,CREATE,measure,2,completed,254,195472083,success,,none
create-confirm-r2-b1,250,CREATE,measure,3,completed,255,145435541,success,,none
create-confirm-r2-b1,250,CREATE,measure,4,completed,256,136845542,success,,none
create-confirm-r2-b1,1000,LINK,warmup,0,completed,1000,2127833,success,,none
create-confirm-r2-b1,1000,LINK,warmup,1,completed,1000,1315209,success,,none
create-confirm-r2-b1,1000,LINK,warmup,2,completed,1000,1460334,success,,none
create-confirm-r2-b1,1000,LINK,warmup,3,completed,1000,1145334,success,,none
create-confirm-r2-b1,1000,LINK,warmup,4,completed,1000,2112250,success,,none
create-confirm-r2-b1,1000,LINK,measure,0,completed,1000,1555375,success,,none
create-confirm-r2-b1,1000,LINK,measure,1,completed,1000,1420875,success,,none
create-confirm-r2-b1,1000,LINK,measure,2,completed,1000,1099000,success,,none
create-confirm-r2-b1,1000,LINK,measure,3,completed,1000,1040833,success,,none
create-confirm-r2-b1,1000,LINK,measure,4,completed,1000,872916,success,,none
create-confirm-r2-b1,1000,LINK,measure,5,completed,1000,848458,success,,none
create-confirm-r2-b1,1000,LINK,measure,6,completed,1000,852084,success,,none
create-confirm-r2-b1,1000,LINK,measure,7,completed,1000,801125,success,,none
create-confirm-r2-b1,1000,LINK,measure,8,completed,1000,773333,success,,none
create-confirm-r2-b1,1000,LINK,measure,9,completed,1000,886750,success,,none
