run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail
screen-02,1000,LINK,measure,9,completed,1000,806583,success,
screen-02,1000,LINK,measure,10,completed,1000,811375,success,
screen-02,1000,LINK,measure,11,completed,1000,838542,success,
screen-02,1000,LINK,measure,12,completed,1000,808875,success,
screen-02,1000,LINK,measure,13,completed,1000,799041,success,
screen-02,1000,LINK,measure,14,completed,1000,795958,success,
screen-02,1000,LINK,measure,15,completed,1000,1078041,success,
screen-02,1000,LINK,measure,16,completed,1000,1255792,success,
screen-02,1000,LINK,measure,17,completed,1000,1036333,success,
screen-02,1000,LINK,measure,18,completed,1000,940750,success,
screen-02,1000,LINK,measure,19,completed,1000,891042,success,
screen-02,1000,LIST,warmup,0,completed,1000,16916875,success,
screen-02,1000,LIST,warmup,1,completed,1000,16100875,success,
screen-02,1000,LIST,warmup,2,completed,1000,17510000,success,
screen-02,1000,LIST,warmup,3,completed,1000,18654291,success,
screen-02,1000,LIST,warmup,4,completed,1000,16623084,success,
screen-02,1000,LIST,measure,0,completed,1000,16629958,success,
screen-02,1000,LIST,measure,1,completed,1000,16110958,success,
screen-02,1000,LIST,measure,2,completed,1000,16544084,success,
screen-02,1000,LIST,measure,3,completed,1000,15409208,success,
screen-02,1000,LIST,measure,4,completed,1000,15702500,success,
screen-02,1000,LIST,measure,5,completed,1000,15229000,success,
screen-02,1000,LIST,measure,6,completed,1000,18827834,success,
screen-02,1000,LIST,measure,7,completed,1000,17212750,success,
screen-02,1000,LIST,measure,8,completed,1000,15829250,success,
screen-02,1000,LIST,measure,9,completed,1000,14899958,success,
screen-02,1000,LIST,measure,10,completed,1000,15286875,success,
screen-02,1000,LIST,measure,11,completed,1000,14744541,success,
screen-02,1000,LIST,measure,12,completed,1000,16834750,success,
screen-02,1000,LIST,measure,13,completed,1000,15050958,success,
screen-02,1000,LIST,measure,14,completed,1000,15489375,success,
screen-02,1000,LIST,measure,15,completed,1000,16571417,success,
screen-02,1000,LIST,measure,16,completed,1000,14836042,success,
screen-02,1000,LIST,measure,17,completed,1000,14583042,success,
screen-02,1000,LIST,measure,18,completed,1000,14864375,success,
screen-02,1000,LIST,measure,19,completed,1000,14891250,success,
screen-02,1000,SAVE,warmup,0,completed,1000,6577459,success,
screen-02,1000,SAVE,warmup,1,completed,1000,5434625,success,
screen-02,1000,SAVE,warmup,2,completed,1000,5305125,success,
screen-02,1000,SAVE,warmup,3,completed,1000,5286625,success,
screen-02,1000,SAVE,warmup,4,completed,1000,5709083,success,
screen-02,1000,SAVE,measure,0,completed,1000,5195875,success,
screen-02,1000,SAVE,measure,1,completed,1000,5498750,success,
screen-02,1000,SAVE,measure,2,completed,1000,5095375,success,
screen-02,1000,SAVE,measure,3,completed,1000,5298500,success,
screen-02,1000,SAVE,measure,4,completed,1000,5518667,success,
screen-02,1000,SAVE,measure,5,completed,1000,4888084,success,
screen-02,1000,SAVE,measure,6,completed,1000,6444500,success,
screen-02,1000,SAVE,measure,7,completed,1000,5792125,success,
screen-02,1000,SAVE,measure,8,completed,1000,5280166,success,
screen-02,1000,SAVE,measure,9,completed,1000,5446916,success,
screen-02,1000,SAVE,measure,10,completed,1000,5207833,success,
screen-02,1000,SAVE,measure,11,completed,1000,25133625,success,
screen-02,1000,SAVE,measure,12,completed,1000,5411958,success,
screen-02,1000,SAVE,measure,13,completed,1000,4778292,success,
screen-02,1000,SAVE,measure,14,completed,1000,5368125,success,
screen-02,1000,SAVE,measure,15,completed,1000,4693250,success,
screen-02,1000,SAVE,measure,16,completed,1000,4404375,success,
screen-02,1000,SAVE,measure,17,completed,1000,5285541,success,
screen-02,1000,SAVE,measure,18,completed,1000,5671917,success,
screen-02,1000,SAVE,measure,19,completed,1000,5581875,success,
screen-02,1000,CREATE,warmup,0,completed,1000,1454989167,success,
screen-02,1000,CREATE,warmup,1,completed,1001,1444898458,success,
screen-02,1000,CREATE,measure,0,completed,1002,1461032917,success,
screen-02,1000,CREATE,measure,1,completed,1003,1502831167,success,
screen-02,1000,CREATE,measure,2,completed,1004,1477580875,success,
screen-02,1000,CREATE,measure,3,completed,1005,1443842458,success,
screen-02,1000,CREATE,measure,4,completed,1006,1499131542,success,
screen-02,3000,LINK,warmup,0,completed,3000,3130291,success,
