run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail
screen-corrected-01,1000,LINK,measure,10,completed,1000,880042,success,
screen-corrected-01,1000,LINK,measure,11,completed,1000,860250,success,
screen-corrected-01,1000,LINK,measure,12,completed,1000,835208,success,
screen-corrected-01,1000,LINK,measure,13,completed,1000,848250,success,
screen-corrected-01,1000,LINK,measure,14,completed,1000,840542,success,
screen-corrected-01,1000,LINK,measure,15,completed,1000,841916,success,
screen-corrected-01,1000,LINK,measure,16,completed,1000,898292,success,
screen-corrected-01,1000,LINK,measure,17,completed,1000,881084,success,
screen-corrected-01,1000,LINK,measure,18,completed,1000,800333,success,
screen-corrected-01,1000,LINK,measure,19,completed,1000,750083,success,
screen-corrected-01,1000,LIST,warmup,0,completed,1000,9949125,success,
screen-corrected-01,1000,LIST,warmup,1,completed,1000,9116334,success,
screen-corrected-01,1000,LIST,warmup,2,completed,1000,9162458,success,
screen-corrected-01,1000,LIST,warmup,3,completed,1000,8937083,success,
screen-corrected-01,1000,LIST,warmup,4,completed,1000,9716250,success,
screen-corrected-01,1000,LIST,measure,0,completed,1000,8728375,success,
screen-corrected-01,1000,LIST,measure,1,completed,1000,8664042,success,
screen-corrected-01,1000,LIST,measure,2,completed,1000,8935042,success,
screen-corrected-01,1000,LIST,measure,3,completed,1000,8535375,success,
screen-corrected-01,1000,LIST,measure,4,completed,1000,8071125,success,
screen-corrected-01,1000,LIST,measure,5,completed,1000,9271625,success,
screen-corrected-01,1000,LIST,measure,6,completed,1000,8209250,success,
screen-corrected-01,1000,LIST,measure,7,completed,1000,8864250,success,
screen-corrected-01,1000,LIST,measure,8,completed,1000,8890625,success,
screen-corrected-01,1000,LIST,measure,9,completed,1000,8874333,success,
screen-corrected-01,1000,LIST,measure,10,completed,1000,7948667,success,
screen-corrected-01,1000,LIST,measure,11,completed,1000,8784750,success,
screen-corrected-01,1000,LIST,measure,12,completed,1000,7822375,success,
screen-corrected-01,1000,LIST,measure,13,completed,1000,8797584,success,
screen-corrected-01,1000,LIST,measure,14,completed,1000,9354125,success,
screen-corrected-01,1000,LIST,measure,15,completed,1000,10723583,success,
screen-corrected-01,1000,LIST,measure,16,completed,1000,10336041,success,
screen-corrected-01,1000,LIST,measure,17,completed,1000,8965416,success,
screen-corrected-01,1000,LIST,measure,18,completed,1000,8577666,success,
screen-corrected-01,1000,LIST,measure,19,completed,1000,8217542,success,
screen-corrected-01,1000,SAVE,warmup,0,completed,1000,11172167,success,
screen-corrected-01,1000,SAVE,warmup,1,completed,1000,5116084,success,
screen-corrected-01,1000,SAVE,warmup,2,completed,1000,5500250,success,
screen-corrected-01,1000,SAVE,warmup,3,completed,1000,5067583,success,
screen-corrected-01,1000,SAVE,warmup,4,completed,1000,5987458,success,
screen-corrected-01,1000,SAVE,measure,0,completed,1000,4964250,success,
screen-corrected-01,1000,SAVE,measure,1,completed,1000,5017041,success,
screen-corrected-01,1000,SAVE,measure,2,completed,1000,5846666,success,
screen-corrected-01,1000,SAVE,measure,3,completed,1000,4959833,success,
screen-corrected-01,1000,SAVE,measure,4,completed,1000,4794916,success,
screen-corrected-01,1000,SAVE,measure,5,completed,1000,5333125,success,
screen-corrected-01,1000,SAVE,measure,6,completed,1000,6743709,success,
screen-corrected-01,1000,SAVE,measure,7,completed,1000,5735583,success,
screen-corrected-01,1000,SAVE,measure,8,completed,1000,5057208,success,
screen-corrected-01,1000,SAVE,measure,9,completed,1000,4834958,success,
screen-corrected-01,1000,SAVE,measure,10,completed,1000,4673125,success,
screen-corrected-01,1000,SAVE,measure,11,completed,1000,25230542,success,
screen-corrected-01,1000,SAVE,measure,12,completed,1000,5445917,success,
screen-corrected-01,1000,SAVE,measure,13,completed,1000,5011167,success,
screen-corrected-01,1000,SAVE,measure,14,completed,1000,5266834,success,
