run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail
screen-corrected-02,250,LINK,warmup,0,completed,250,6583041,success,
screen-corrected-02,250,LINK,warmup,1,completed,250,752500,success,
screen-corrected-02,250,LINK,warmup,2,completed,250,637792,success,
screen-corrected-02,250,LINK,warmup,3,completed,250,710583,success,
screen-corrected-02,250,LINK,warmup,4,completed,250,621583,success,
screen-corrected-02,250,LINK,measure,0,completed,250,628792,success,
screen-corrected-02,250,LINK,measure,1,completed,250,642167,success,
screen-corrected-02,250,LINK,measure,2,completed,250,628084,success,
screen-corrected-02,250,LINK,measure,3,completed,250,619666,success,
screen-corrected-02,250,LINK,measure,4,completed,250,633583,success,
screen-corrected-02,250,LINK,measure,5,completed,250,621334,success,
screen-corrected-02,250,LINK,measure,6,completed,250,617250,success,
screen-corrected-02,250,LINK,measure,7,completed,250,624625,success,
screen-corrected-02,250,LINK,measure,8,completed,250,633208,success,
screen-corrected-02,250,LINK,measure,9,completed,250,956292,success,
screen-corrected-02,250,LINK,measure,10,completed,250,683250,success,
screen-corrected-02,250,LINK,measure,11,completed,250,666542,success,
screen-corrected-02,250,LINK,measure,12,completed,250,640959,success,
screen-corrected-02,250,LINK,measure,13,completed,250,687750,success,
screen-corrected-02,250,LINK,measure,14,completed,250,631083,success,
screen-corrected-02,250,LINK,measure,15,completed,250,545667,success,
screen-corrected-02,250,LINK,measure,16,completed,250,563042,success,
screen-corrected-02,250,LINK,measure,17,completed,250,535416,success,
screen-corrected-02,250,LINK,measure,18,completed,250,532916,success,
screen-corrected-02,250,LINK,measure,19,completed,250,552541,success,
screen-corrected-02,250,LIST,warmup,0,completed,250,3661917,success,
screen-corrected-02,250,LIST,warmup,1,completed,250,2398791,success,
screen-corrected-02,250,LIST,warmup,2,completed,250,2916209,success,
screen-corrected-02,250,LIST,warmup,3,completed,250,2271417,success,
screen-corrected-02,250,LIST,warmup,4,completed,250,2138917,success,
screen-corrected-02,250,LIST,measure,0,completed,250,2434791,success,
screen-corrected-02,250,LIST,measure,1,completed,250,2189250,success,
screen-corrected-02,250,LIST,measure,2,completed,250,2199666,success,
screen-corrected-02,250,LIST,measure,3,completed,250,2316292,success,
screen-corrected-02,250,LIST,measure,4,completed,250,2676750,success,
screen-corrected-02,250,LIST,measure,5,completed,250,2358833,success,
screen-corrected-02,250,LIST,measure,6,completed,250,2219875,success,
screen-corrected-02,250,LIST,measure,7,completed,250,2313375,success,
screen-corrected-02,250,LIST,measure,8,completed,250,2264000,success,
screen-corrected-02,250,LIST,measure,9,completed,250,2164333,success,
screen-corrected-02,250,LIST,measure,10,completed,250,2111292,success,
screen-corrected-02,250,LIST,measure,11,completed,250,2026667,success,
screen-corrected-02,250,LIST,measure,12,completed,250,2149083,success,
screen-corrected-02,250,LIST,measure,13,completed,250,2026583,success,
screen-corrected-02,250,LIST,measure,14,completed,250,2216292,success,
screen-corrected-02,250,LIST,measure,15,completed,250,2144458,success,
screen-corrected-02,250,LIST,measure,16,completed,250,2230750,success,
screen-corrected-02,250,LIST,measure,17,completed,250,2122209,success,
screen-corrected-02,250,LIST,measure,18,completed,250,2149500,success,
screen-corrected-02,250,LIST,measure,19,completed,250,2325208,success,
screen-corrected-02,250,SAVE,warmup,0,completed,250,17205209,success,
screen-corrected-02,250,SAVE,warmup,1,completed,250,6372791,success,
