run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail,arm
create-confirm-r2-a1,1000,LINK,warmup,2,completed,1000,1725167,success,,none
create-confirm-r2-a1,1000,LINK,warmup,3,completed,1000,1328666,success,,none
create-confirm-r2-a1,1000,LINK,warmup,4,completed,1000,1264041,success,,none
create-confirm-r2-a1,1000,LINK,measure,0,completed,1000,1426083,success,,none
create-confirm-r2-a1,1000,LINK,measure,1,completed,1000,1733417,success,,none
create-confirm-r2-a1,1000,LINK,measure,2,completed,1000,1370208,success,,none
create-confirm-r2-a1,1000,LINK,measure,3,completed,1000,1399625,success,,none
create-confirm-r2-a1,1000,LINK,measure,4,completed,1000,2078792,success,,none
create-confirm-r2-a1,1000,LINK,measure,5,completed,1000,1220125,success,,none
create-confirm-r2-a1,1000,LINK,measure,6,completed,1000,924584,success,,none
create-confirm-r2-a1,1000,LINK,measure,7,completed,1000,850833,success,,none
create-confirm-r2-a1,1000,LINK,measure,8,completed,1000,858042,success,,none
create-confirm-r2-a1,1000,LINK,measure,9,completed,1000,926208,success,,none
create-confirm-r2-a1,1000,LINK,measure,10,completed,1000,824875,success,,none
create-confirm-r2-a1,1000,LINK,measure,11,completed,1000,805708,success,,none
create-confirm-r2-a1,1000,LINK,measure,12,completed,1000,769334,success,,none
create-confirm-r2-a1,1000,LINK,measure,13,completed,1000,773583,success,,none
create-confirm-r2-a1,1000,LINK,measure,14,completed,1000,1474833,success,,none
create-confirm-r2-a1,1000,LINK,measure,15,completed,1000,1084209,success,,none
create-confirm-r2-a1,1000,LINK,measure,16,completed,1000,872708,success,,none
create-confirm-r2-a1,1000,LINK,measure,17,completed,1000,923584,success,,none
create-confirm-r2-a1,1000,LINK,measure,18,completed,1000,925042,success,,none
create-confirm-r2-a1,1000,LINK,measure,19,completed,1000,956500,success,,none
create-confirm-r2-a1,1000,LIST,warmup,0,completed,1000,10308458,success,,none
create-confirm-r2-a1,1000,LIST,warmup,1,completed,1000,10596292,success,,none
create-confirm-r2-a1,1000,LIST,warmup,2,completed,1000,10257917,success,,none
create-confirm-r2-a1,1000,LIST,warmup,3,completed,1000,9924750,success,,none
create-confirm-r2-a1,1000,LIST,warmup,4,completed,1000,10336500,success,,none
create-confirm-r2-a1,1000,LIST,measure,0,completed,1000,10521292,success,,none
create-confirm-r2-a1,1000,LIST,measure,1,completed,1000,10110750,success,,none
create-confirm-r2-a1,1000,LIST,measure,2,completed,1000,10332541,success,,none
